content
"Everyone has a role to play in helping to control the virus by staying alert and following the rules.

This is how we can continue to save lives as we start to recover from coronavirus.

#StayAlertpic.twitter.com/2z9yl1Fxs4"

Racist thuggery has no place on our streets. Anyone attacking the police will be met with full force of the law. These marches & protests have been subverted by violence and breach current guidelines. Racism has no part in the UK and we must work together to make that a reality.

The statue of Winston Churchill in Parliament Square is a permanent reminder of his achievement in saving this country     and the whole of Europe     from a fascist and racist tyranny. 1/8

"We must all continue to remember those on the frontline battling this disease, and members of society who are vulnerable - and continue to do all we can to stop the spread of coronavirus. 
 
By doing the right thing and following the rules, you are helping to save lives."

"I want to say thank you, from the bottom of my heart, to all carers in the UK helping us through this pandemic. 
 
Whether you work as a carer, or are caring for someone at home, your compassion and strength at this time is a beacon of hope for us all. 
 
 #CarersWeek"

People have a right to protest peacefully & while observing social distancing but they have no right to attack the police. These demonstrations have been subverted by thuggery - and they are a betrayal of the cause they purport to serve. Those responsible will be held to account.

"Together we have made it through the peak, but we ۪re not yet back to normal.

Please continue to #StayAlert, keep 2 metres away from others and wash your hands regularly. 

If you have symptoms of coronavirus, self-isolate and apply for a home testing kit: http://nhs.uk/coronavirus  pic.twitter.com/7icCNU99wK"

"We all have a part to play in stopping the spread of coronavirus. 

Let ۪s continue to take extra care by keeping 2 metres apart and washing our hands regularly. 

#StayAlertpic.twitter.com/LmeSUZqIyP"

"The virus spreads more easily indoors, so if you are meeting others today, stay outside and keep 2 metres away at all times.pic.twitter.com/mUSgo595gQ"

"We all need to #StayAlert, act responsibly, and strictly observe social distancing rules. 

Do not meet others inside your home. Stay outdoors, keep 2 metres apart, and wash your hands regularly.pic.twitter.com/Vb0VWPj9jE"

"If you are contacted by an NHS contact tracer who tells you that you have been in contact with someone who has tested positive for coronavirus, you must self-isolate for 14 days.

If everyone follows these guidelines, we can control the virus, protect our NHS and save lives.pic.twitter.com/ipRa91AU2t"

"Today I am thinking of the men who landed on the beaches of Normandy 76 years ago, who fought and died so that we can be free from the evils of fascism. 

We will always be grateful for their courage, and we will always remember their sacrifice.

#DDay76 #DDaypic.twitter.com/a7WgvK6s8j"

